source,user,session_id,target_x,target_y,gaze_pitch,gaze_yaw,head_pitch,head_yaw,head_roll,head_tx,head_ty,head_tz,iris_left_x,iris_left_y,iris_right_x,iris_right_y,iris_left_ratio_x,iris_left_ratio_y,iris_right_ratio_x,iris_right_ratio_y,eye_left_outer_x,eye_left_outer_y,eye_left_inner_x,eye_left_inner_y,eye_right_inner_x,eye_right_inner_y,eye_right_outer_x,eye_right_outer_y,ear_left,ear_right,face_width,face_height,ipd_px,pos_distance_cm,pos_face_dx,pos_face_dy,timestamp,schema_version
milestone4_pursuit,default,20260720-235336,0.076425,0.050000,0.113651,0.064504,-14.288233,3.201206,-2.116417,-2.672801,-1.358689,-32.963463,0.415516,0.439677,0.512388,0.446140,0.458499,-0.066349,0.427805,-0.058838,0.396328,0.445462,0.438315,0.443800,0.489414,0.446509,0.529064,0.454113,0.234893,0.223443,0.212857,0.463761,124.083628,54.500287,-0.036091,0.013329,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.096153,0.050000,0.103440,0.109497,-14.221030,3.164200,-2.288450,-2.657359,-1.425582,-33.070557,0.415716,0.441482,0.512424,0.448670,0.446427,-0.068714,0.436092,-0.061248,0.397091,0.447278,0.438930,0.445911,0.489820,0.449098,0.529369,0.456907,0.228311,0.221949,0.211978,0.460706,123.894593,54.583442,-0.035994,0.014772,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.114376,0.050000,0.123527,0.315525,-14.083021,3.226461,-2.163954,-2.684158,-1.481347,-33.157970,0.415316,0.443666,0.512020,0.450102,0.447547,-0.071435,0.437687,-0.067331,0.396711,0.449881,0.438450,0.448055,0.489317,0.450951,0.529102,0.458837,0.217309,0.213600,0.212488,0.457426,123.867159,54.595531,-0.036153,0.016802,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.132573,0.050000,0.117622,0.318675,-13.935908,3.087459,-2.082956,-2.694327,-1.488540,-33.133503,0.415178,0.444084,0.511249,0.450024,0.452072,-0.071973,0.450531,-0.069527,0.396398,0.450537,0.438142,0.448317,0.489141,0.451035,0.528772,0.458872,0.209642,0.212325,0.213006,0.457911,123.046324,54.959735,-0.036853,0.017777,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.150626,0.050000,0.153012,0.290436,-13.844928,3.038207,-2.086500,-2.698993,-1.495464,-33.127319,0.414867,0.444410,0.510597,0.450253,0.449211,-0.071219,0.460905,-0.069871,0.396222,0.450708,0.437913,0.448673,0.488895,0.451302,0.528544,0.459113,0.209357,0.210845,0.213376,0.457660,122.606602,55.156845,-0.037055,0.018259,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.168679,0.050000,0.100873,0.441687,-13.879433,3.046878,-1.992273,-2.713079,-1.503638,-33.126274,0.411572,0.444580,0.508152,0.449995,0.382134,-0.070700,0.506876,-0.071183,0.395509,0.451054,0.437798,0.448743,0.487950,0.451208,0.528283,0.459051,0.214728,0.214384,0.213449,0.457166,123.682908,54.676862,-0.037320,0.018389,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.185734,0.050000,0.053074,0.413488,-13.788828,3.076564,-2.039493,-2.733620,-1.518713,-33.135635,0.410152,0.445386,0.506568,0.450509,0.357513,-0.067327,0.531567,-0.071523,0.394971,0.451793,0.437725,0.449220,0.487261,0.451702,0.527821,0.459693,0.215788,0.220297,0.214021,0.456459,123.467690,54.772170,-0.037471,0.019220,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.201071,0.050000,0.075079,0.456975,-13.720028,2.927496,-1.873057,-2.784521,-1.520899,-33.137745,0.408750,0.445588,0.505659,0.450325,0.350805,-0.066244,0.526507,-0.072169,0.393848,0.452071,0.436659,0.449196,0.486243,0.451517,0.526584,0.459549,0.216781,0.221283,0.213932,0.457182,124.090917,54.497086,-0.038959,0.020022,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.215470,0.050000,0.056543,0.359024,-13.799532,2.728077,-1.698407,-2.821342,-1.535313,-33.132183,0.408384,0.445905,0.504998,0.450256,0.362393,-0.068099,0.520831,-0.074148,0.393042,0.452723,0.435756,0.449440,0.485341,0.451592,0.525682,0.459622,0.218081,0.223299,0.213642,0.457402,123.704751,54.667208,-0.040106,0.019742,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.228890,0.050000,0.091715,0.388155,-13.927631,2.277363,-1.669201,-2.858040,-1.534534,-33.084648,0.408103,0.445616,0.504696,0.449539,0.374145,-0.068141,0.511279,-0.076234,0.392286,0.452543,0.434953,0.449038,0.484674,0.450951,0.524934,0.459111,0.220347,0.226206,0.213589,0.457931,123.671023,54.682117,-0.042096,0.019306,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.242943,0.050000,0.080900,0.286155,-13.905536,2.206586,-1.667827,-2.867934,-1.529337,-33.056934,0.408084,0.445535,0.504825,0.449518,0.379889,-0.067652,0.504404,-0.075636,0.391971,0.452394,0.434757,0.448978,0.484460,0.450910,0.524852,0.459057,0.219976,0.226447,0.213479,0.458136,123.860672,54.598391,-0.042298,0.019139,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.256183,0.050000,0.065325,0.360263,-13.838207,2.087455,-1.622585,-2.876402,-1.522583,-33.047844,0.408001,0.445471,0.504873,0.449294,0.383473,-0.068148,0.498915,-0.077452,0.391798,0.452341,0.434417,0.448938,0.484331,0.450897,0.524629,0.458856,0.220766,0.227387,0.213318,0.458245,124.026969,54.525184,-0.042619,0.019037,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.269966,0.050000,0.063518,0.361225,-13.849043,2.002246,-1.593811,-2.881587,-1.521273,-33.012173,0.407741,0.445460,0.504900,0.449261,0.385470,-0.067979,0.497952,-0.076983,0.391418,0.452336,0.434129,0.448917,0.484283,0.450854,0.524658,0.458787,0.219321,0.226836,0.213078,0.458535,124.393294,54.364613,-0.042863,0.018979,2026-07-20T23:55:55,3
milestone4_pursuit,default,20260720-235336,0.285379,0.050000,0.084439,0.403423,-13.811408,1.892941,-1.527951,-2.878561,-1.510877,-33.001434,0.407829,0.445412,0.504981,0.448948,0.388741,-0.067822,0.493753,-0.076111,0.391445,0.452307,0.433963,0.448780,0.484251,0.450574,0.524537,0.458287,0.219680,0.225038,0.213109,0.459113,124.381076,54.369954,-0.043045,0.018955,2026-07-20T23:55:55,3
